user_id,key_alias,role,permission_group,models,max_budget_usd,soft_budget_usd,budget_duration,duration,rpm_limit,tpm_limit
u01,u01-architect-admin,架构/管理员,admin-full,"gpt-5.5;gpt-4.1;gpt-4o;claude-sonnet-4-5;claude-haiku-4-5;gemini-2.5-pro;gemini-2.5-flash;deepseek-chat;deepseek-reasoner;qwen-plus;qwen-coder-plus;kimi-chat;kimi-long-context",100,80,30d,180d,120,200000
u02,u02-architect,架构/管理员,admin-full,"gpt-5.5;gpt-4.1;gpt-4o;claude-sonnet-4-5;claude-haiku-4-5;gemini-2.5-pro;gemini-2.5-flash;deepseek-chat;deepseek-reasoner;qwen-plus;qwen-coder-plus;kimi-chat;kimi-long-context",90,72,30d,180d,120,200000
u03,u03-techlead,技术负责人,senior-dev,"gpt-5.5;gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;gemini-2.5-pro;deepseek-chat;deepseek-reasoner;qwen-plus;qwen-coder-plus;kimi-chat",75,60,30d,180d,90,160000
u04,u04-techlead,技术负责人,senior-dev,"gpt-5.5;gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;gemini-2.5-pro;deepseek-chat;deepseek-reasoner;qwen-plus;qwen-coder-plus;kimi-chat",75,60,30d,180d,90,160000
u05,u05-senior-dev,高级研发,senior-dev,"gpt-5.5;gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;gemini-2.5-pro;deepseek-chat;deepseek-reasoner;qwen-plus;qwen-coder-plus;kimi-chat",75,60,30d,180d,90,160000
u06,u06-senior-dev,高级研发,senior-dev,"gpt-5.5;gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;gemini-2.5-pro;deepseek-chat;deepseek-reasoner;qwen-plus;qwen-coder-plus;kimi-chat",75,60,30d,180d,90,160000
u07,u07-dev,研发,standard-dev,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-plus;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u08,u08-dev,研发,standard-dev,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-plus;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u09,u09-dev,研发,standard-dev,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-plus;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u10,u10-dev,研发,standard-dev,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-plus;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u11,u11-dev,研发,standard-dev,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-plus;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u12,u12-dev,研发,standard-dev,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-plus;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u13,u13-dev,研发,standard-dev,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-plus;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u14,u14-dev,研发,standard-dev,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-plus;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u15,u15-qa,QA/自动化,qa,"claude-haiku-4-5;deepseek-chat;qwen-plus;kimi-chat;kimi-long-context",35,28,30d,180d,45,90000
u16,u16-qa,QA/自动化,qa,"claude-haiku-4-5;deepseek-chat;qwen-plus;kimi-chat;kimi-long-context",35,28,30d,180d,45,90000
u17,u17-qa,QA/自动化,qa,"claude-haiku-4-5;deepseek-chat;qwen-plus;kimi-chat;kimi-long-context",35,28,30d,180d,45,90000
u18,u18-sre,DevOps/SRE,sre,"gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;qwen-coder-plus;kimi-chat",55,44,30d,180d,60,120000
u19,u19-product,产品/设计,product,"claude-haiku-4-5;gemini-2.5-flash;qwen-plus;kimi-chat",25,20,30d,180d,30,60000
u20,u20-ops,产品/运营,product,"claude-haiku-4-5;gemini-2.5-flash;qwen-plus;kimi-chat",25,20,30d,180d,30,60000
service-ci,team-ci-service,CI/自动化,service,"claude-haiku-4-5;deepseek-chat;qwen-coder-plus",60,48,30d,180d,120,200000
service-temp,team-temp-boost,临时提额,temp,"gpt-5.5;gpt-4.1;claude-sonnet-4-5;claude-haiku-4-5;deepseek-chat;deepseek-reasoner;qwen-coder-plus;kimi-chat",90,72,30d,30d,120,200000
